hospital_id,bundle_label,min,max,count,gap_ratio,log_gap
5rjtdp74,Surgical Pathology Level VI,34.38,7973.08,48,231.91041303083185,5.446351146361745
cwmo7l4t,Acquisition of Body Components,24921.116,126713.575,92,5.084586701494427,1.6262137482217591
cwmo7l4t,Ambulance – ALS1 Emergency Base Rate,664.224,4955.875,138,7.4611501541648595,2.009709578493256
cwmo7l4t,Ambulance – Air (Rotor) Mileage,3.74,205.0,184,54.81283422459893,4.003924367711968
cwmo7l4t,Ambulance – BLS Emergency Base Rate,471.614,1292.525,46,2.740641711229947,1.0081920941579767
cwmo7l4t,Ambulance – BLS Non-Emergency,294.712,807.7,46,2.7406417112299466,1.0081920941579767
cwmo7l4t,Ambulance – Ground Mileage,0.28,20.75625,322,74.12946428571428,4.305813081955807
cwmo7l4t,Antibiotic Susceptibility MIC,0.01,2316.5,481,231650.0,12.352982890844794
cwmo7l4t,Any J-code Injectable (catch-all),0.00374,128615.032,13929,34389045.98930482,17.353248641090392
cwmo7l4t,Basic Metabolic Panel (BMP),22.23,299.3,49,13.46378767431399,2.600003686882548
cwmo7l4t,Body scan,367.565,1605.15,48,4.366982710540993,1.474072315379716
cwmo7l4t,CBC with Differential,16.91,136.325,96,8.061797752808989,2.0871365779016364
cwmo7l4t,COVID-19 PCR (NAAT),57.596,157.85,48,2.7406417112299466,1.0081920941579767
cwmo7l4t,CPT – Unclassified (Review Needed),0.01,19770.2,378,1977020.0,14.49710121843947
cwmo7l4t,Cardiac – NT-proBNP,103.2,292.125,49,2.8306686046511627,1.0405129398115596
cwmo7l4t,Comprehensive Genomic Profiling (FoundationOne CDx),420.0,9188.08,48,21.876380952380952,3.0854075595028116
cwmo7l4t,Comprehensive Metabolic Panel (CMP),27.58,435.625,49,15.794960116026107,2.759690909149633
cwmo7l4t,Cytology – Fine Needle Aspiration (FNA) evaluation,98.736,270.6,56,2.7406417112299466,1.0081920941579767
cwmo7l4t,DNA/NAAT – Unspecified Agent,0.01,1081.375,626,108137.5,11.59115884448863
cwmo7l4t,Drug Testing – Definitive (Mass Spec) 1–7 classes/day,0.01,553.5,3338,55350.0,10.921431938136783
cwmo7l4t,EKG/ECG Electrocardiogram,175.78,684.6,190,3.8946410285584254,1.3596015129595858
cwmo7l4t,Erythropoiesis-Stimulating Agents – Epoetin Alfa,15.53,60.106,47,3.870315518351578,1.3533360330081718
cwmo7l4t,Extra-Corporeal Shock Wave Therapy (formerly Lithotripsy),1319.76,12251.08,2,9.282808995574953,2.228164194484358
cwmo7l4t,Ferritin,35.6,208.075,49,5.844803370786516,1.7655529537741739
cwmo7l4t,Flow Cytometry (Tech/Professional),63.15,379.25,222,6.005542359461599,1.7926827694321414
cwmo7l4t,Folate,38.26,233.7,49,6.108207004704653,1.8096332775327055
cwmo7l4t,Free T3,23.39,324.925,49,13.89162035057717,2.6312858058715647
cwmo7l4t,G-CSF – Filgrastim (and biosimilars),0.53,1445.045,421,2726.5,7.910774014366116
cwmo7l4t,Group Home,142.494,390.525,56,2.740641711229946,1.0081920941579765
cwmo7l4t,HCPCS – Miscellaneous / Supplies,0.00374,11039.25,2342,2951671.1229946525,14.897882050296502
cwmo7l4t,Hemoglobin A1c,25.8,155.8,49,6.038759689922481,1.7981986415090763
cwmo7l4t,IHC – Estrogen Receptor (ER),189.992,520.7,56,2.740641711229947,1.0081920941579767
cwmo7l4t,Immunocytochemistry – Multiplex,197.846,1068.05,168,5.398390667488854,1.6861008846129895
cwmo7l4t,Immunofixation Electrophoresis,0.01,335.175,48,33517.5,10.419822969475716
cwmo7l4t,Immunoglobulins (IgG/IgA/IgM each),24.02,153.75,116,6.400915903413822,1.8564410900347899
cwmo7l4t,Immunohistochemistry – Each Additional Antibody,87.142,270.6,168,3.105276445342086,1.1331027437385923
cwmo7l4t,Immunohistochemistry – First Antibody,114.444,313.76275,112,2.7416269092307153,1.0085515066857382
cwmo7l4t,Influenza A/B PCR,117.81,322.875,48,2.7406417112299466,1.0081920941579767
cwmo7l4t,Iron – Serum Iron,0.01,257.275,146,25727.499999999996,10.155315737710247
cwmo7l4t,Lipid Panel,35.6,241.9,49,6.794943820224719,1.9161787797579968
cwmo7l4t,Magnesium,11.968,102.5,98,8.564505347593583,2.1476263773463415
cwmo7l4t,Microbiology NA Probe (each),74.052,202.95,48,2.740641711229946,1.0081920941579765
cwmo7l4t,Molecular – Exome/Genome Sequencing,57.29,2562.5,48,44.72857392215046,3.8006125350261772
cwmo7l4t,Molecular – Genetic Testing Panel,0.01,26835.525,96,2683552.5,14.802652034409883
cwmo7l4t,Multiplex NAAT – Multiple organisms,51.986,187.575,112,3.6081829723387067,1.283204313868706
cwmo7l4t,PSA – Prostate Specific Antigen,48.03,242.925,49,5.057776389756403,1.6209269380487699
cwmo7l4t,Pap/Non-Gyn Cytology Enhanced Techniques,105.69,362.85,56,3.433153562304854,1.2334792447028902
cwmo7l4t,Parathyroid Hormone (PTH),0.01,504.3,58,50430.0,10.828341515070772
cwmo7l4t,Rapid Influenza Antigen,43.58,135.3,96,3.104635153740248,1.1328962056602687
cwmo7l4t,Respiratory Virus Panel (SARS-CoV-2/Flu/RSV),60.0,451.0,49,7.516666666666667,2.0171227772805778
cwmo7l4t,Serum Protein Electrophoresis (SPEP),28.46,224.475,49,7.887385804638088,2.065264749745166
cwmo7l4t,Special Stains – Group II,98.736,270.6,56,2.7406417112299466,1.0081920941579767
cwmo7l4t,Strep A DNA (NAAT),52.36,143.5,48,2.7406417112299466,1.0081920941579767
cwmo7l4t,Testosterone – Total (Assay),19.2,241.9,146,12.598958333333334,2.5336141385822457
cwmo7l4t,Thyroid – Free T4,24.02,184.5,49,7.681099084096586,2.0387626468287445
cwmo7l4t,Thyroid – TSH,44.49,208.075,49,4.676893683973926,1.5426341468142082
cwmo7l4t,Unlisted Molecular Pathology/Gene Analysis,0.01,12812.5,1706,1281250.0,14.063346721868855
cwmo7l4t,Urine Creatinine (random),13.34,75.3375,49,5.64748875562219,1.731210978321685
cwmo7l4t,"Urine Culture, Quantitative",21.35,149.65,56,7.009367681498829,1.9472474946240743
cwmo7l4t,Vancomycin-Resistant Enterococcus (VRE) NAAT,92.52,314.675,48,3.401156506701254,1.2241155228143303
cwmo7l4t,Venipuncture – Blood Draw,7.7605,21.26875,88,2.7406417112299466,1.0081920941579767
cwmo7l4t,Vitamin B12,40.04,243.95,49,6.0926573426573425,1.8070843318148264
cwmo7l4t,Vitamin D 25-OH,0.01,257.275,48,25727.499999999996,10.155315737710247
