hospital_name,Antibiotic Susceptibility MIC,Any J-code Injectable (catch-all),COVID-19 PCR (NAAT),CPT – Unclassified (Review Needed),DNA/NAAT – Unspecified Agent,Flow Cytometry (Tech/Professional),HCPCS – Miscellaneous / Supplies,IHC – Estrogen Receptor (ER),Immunoglobulins (IgG/IgA/IgM each),Immunohistochemistry – First Antibody,Iron – Serum Iron,Magnesium,Pap/Non-Gyn Cytology Enhanced Techniques,Parathyroid Hormone (PTH),PSA – Prostate Specific Antigen,Serum Protein Electrophoresis (SPEP),Special Stains – Group II,Surgical Pathology Level IV,Testosterone – Total (Assay),Urine Creatinine (random)
AdventHealth,0.26694617397260334,8.948975607841774,-1.6262241318905142,2.047692843365256,-0.5822582646851826,,2.1832383353614797,,-1.034450344450823,-0.44850261978814654,-1.177655496008562,-1.191271119150814,,-0.4673405118262517,0.5623075796011348,-0.4054651081081646,-0.9330175256794684,-0.8339019820688662,-0.3305637999350468,
Duke University Hospital,-0.5073529342870184,-0.9787987798344897,-0.499361860115342,-0.38980938979095026,-0.5092259268724444,-0.5528814408271234,-0.6354584744932508,-0.5283174436559124,-0.4993406738990931,-0.5281145504002671,-0.5528800222878081,-1.2191476023451715,-0.5283137084359444,-0.5282905686036727,-0.5581025415250007,-0.5581475413225094,-0.44613827069513956,,-0.5581170793737495,-0.5582023601382762
MUSC Health,0.7324215864298225,,,0.3801764172451909,,,0.09377344090314299,0.3801764172451909,,0.3801764172451909,,,0.7324215864298225,,,,0.4368676528625608,0.7324215864298225,,
UNC Medical Center,0.9068265916830014,0.09288087255109811,-0.019784755583456715,0.19153821189887887,0.22357776756071956,-0.029493002907555965,-0.18294480393161106,-0.030426686630707245,0.5805960843567646,,0.4307829160924541,0.5812946778863048,0.009990868302538036,0.5881455196466976,0.5400615769863162,0.6593373341436246,0.3453153303575469,0.3940364122845419,0.5525269363698082,0.5865604231788746
UNC Rex Hospital,0.9793220937211546,-0.009449873125960018,0.06099654636855156,0.19153821189887887,0.20007827838321335,-0.029493002907555965,-0.3019755003861495,-0.6846733885998546,0.5509513677717677,-0.07522592076080326,0.9347167138205235,0.5514657835734982,0.014730926370041697,0.5521384991689113,0.5324182276737481,0.6593373341436246,0.2597688691792426,0.3934842884711087,0.5525269363698082,0.5804065576044963
